TargetName	S1	S2	S3	S4
AQR	26	23	25	27
AR	16	16	31	10
ARAF	32	36	28	37
ARAP1	32	48	29	35
ARAP2	37	27	33	19
ARAP3	31	43	26	33
ARC	11	28	13	15
ARCN1	22	41	38	28
AREG	30	24	19	15
AREL1	22	42	45	29
ARF1	152	196	298	185
ARF3	36	54	176	38
ARF4	96	128	145	114
ARF5	55	83	145	63
ARF6	70	72	76	71
ARFGAP1	55	80	68	43
ARFGAP2	66	69	98	89
ARFGAP3	41	49	84	35
ARFGEF1	51	61	68	44
ARFGEF2	17	41	35	36
ARFGEF3	17	38	202	26
ARFIP1	60	58	38	56
ARFIP2	28	48	52	31
ARFRP1	36	44	44	36
ARG1	18	35	20	22
ARGFX	10	16	19	14
ARGLU1	250	275	331	291
ARHGAP1	25	52	45	34
ARHGAP10	9	26	14	10
ARHGAP11A-SCG5,ARHGAP11A,ARHGAP11B	110	70	20	57
ARHGAP11A-SCG5,SCG5	36	65	179	21
ARHGAP12	21	45	37	32
ARHGAP15	14	21	10	14
ARHGAP17	53	53	38	48
ARHGAP18	15	23	14	16
ARHGAP19	53	41	36	33
ARHGAP20	21	32	99	12
ARHGAP21	211	249	209	199
ARHGAP22	14	25	17	15
ARHGAP23	70	67	165	54
ARHGAP24	14	27	23	22
ARHGAP25	15	31	17	21
ARHGAP26	35	59	59	28
ARHGAP27	22	31	32	22
ARHGAP28	21	24	16	14
ARHGAP29	25	29	21	15
ARHGAP30	15	21	13	9
ARHGAP31	39	51	33	22
ARHGAP32	52	50	82	37
ARHGAP33	68	65	126	68
ARHGAP35	80	74	111	66
ARHGAP36	9	26	16	10
ARHGAP39	24	33	35	25
ARHGAP4	17	23	14	29
ARHGAP40	20	29	20	18
ARHGAP42	15	16	5	13
ARHGAP44	20	35	36	17
ARHGAP45	11	24	14	18
ARHGAP5	97	97	96	68
ARHGAP6	19	35	17	15
ARHGAP8,PRR5-ARHGAP8	16	26	18	15
ARHGAP9,GLI1	17	26	25	22
ARHGDIA	58	85	129	81
ARHGDIB	18	39	24	25
ARHGDIG	16	26	75	16
ARHGEF1	22	42	24	34
ARHGEF10	38	45	38	27
ARHGEF10L	28	42	27	34
ARHGEF11	30	29	32	23
ARHGEF12	41	56	102	39
ARHGEF15	40	36	32	32
ARHGEF16	11	19	11	14
ARHGEF17	25	31	34	19
ARHGEF18	36	53	50	33
ARHGEF19	18	27	17	18
ARHGEF2	66	110	94	82
ARHGEF25	26	32	38	34
ARHGEF26	41	35	28	21
ARHGEF28	11	18	14	15
ARHGEF3	22	36	105	35
ARHGEF33	26	25	27	20
ARHGEF35	52	57	35	34
ARHGEF37	9	25	14	16
ARHGEF38	23	33	25	21
ARHGEF39	16	29	15	16
ARHGEF4,FAM168B	71	94	87	85
ARHGEF40	55	60	33	48
ARHGEF5	20	30	19	22
